titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
Data/Business Analyst Pricing - (F/H) en stage,Carrefour,Stage,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-business-analyst-pricing-f-h-en-stage_massy_CARRE_MNR0r18,2026-03-23,WTTJ,data,
Data/Business Analyst Pricing - (F/H) en stage,Carrefour,Stage,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-business-analyst-pricing-f-h-en-stage_massy_CARRE_wYQRr1Z,2026-03-23,WTTJ,data,
Carrefour Links Chef de Projet Data (F/H) - en stage,Carrefour,Stage,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/carrefour-links-chef-de-projet-data-f-h-en-stage_massy,2026-03-23,WTTJ,data,
Data Analyst MDD (F/H) - en alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/data-analyst-mdd-f-h-en-alternance_massy,2026-03-23,WTTJ,data,
Assi Data et analyse Qualité Non Al(F/H) - en alternance,Carrefour,Alternance,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/assi-data-et-analyse-qualite-non-al-f-h-en-alternance_massy,2026-03-23,WTTJ,data,
ALTERNANCE - Data Scientist H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-scientist-h-f_paris,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst H/F,Groupe Credit Agricole,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-analyst-h-f_paris_GCA_Db0R2ZG,2026-03-23,WTTJ,data,
Alternance - Chargé(e) de mise en place de la Data Governance H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-charge-de-mise-en-place-de-la-data-governance-h-f_montrouge,2026-03-23,WTTJ,data,
Alternance - Data Scientist - Inspection Génerale H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-scientist-inspection-generale-h-f_montrouge,2026-03-23,WTTJ,data,
Alternance - Data Officer H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-officer-h-f_montrouge,2026-03-23,WTTJ,data,
Alternance - Data Analyst  H/F,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-analyst-h-f_montrouge_GCA_1m6G4Kw,2026-03-23,WTTJ,data,
STAGE - Assistant(e) Analyste Data & Risque bancaires H/F,Groupe Credit Agricole,Stage,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-analyste-risque-h-f_montrouge,2026-03-23,WTTJ,data,
Alternance - Data Officer - chargé des développements de projets et de contrôles,Groupe Credit Agricole,Alternance,Montrouge,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/alternance-data-officer-charge-des-developpements-de-projets-et-de-controles_montrouge,2026-03-23,WTTJ,data,
Alternance - Data analyst & Communication Scientifique (H/F),Servier,Alternance,Gif-Sur-Yvette,https://www.welcometothejungle.com/fr/companies/servier/jobs/alternance-data-analyst-communication-scientifique-h-f_gif-sur-yvette,2026-03-23,WTTJ,data,
Data Scientist/AI Engineer en alternance,Servier,Alternance,Suresnes,https://www.welcometothejungle.com/fr/companies/servier/jobs/data-scientist-ai-engineer-en-alternance_suresnes,2026-03-23,WTTJ,data,
Data Manager/Analytics Engineer en alternance,Servier,Alternance,Suresnes,https://www.welcometothejungle.com/fr/companies/servier/jobs/data-manager-analytics-engineer-en-alternance_suresnes,2026-03-23,WTTJ,data,
"Stage Ingénieur Informatique – Low-Code, Data & Support Citizen Developers (H/F)",Coface,Stage,Bois-Colombes,https://www.welcometothejungle.com/fr/companies/coface/jobs/stage-ingenieur-informatique-low-code-data-support-citizen-developers-h-f_bois-colombes,2026-03-23,WTTJ,data,
Consultant IA - Stage de fin d'études Paris - Theodo Data & AI,Sicara,Stage,Paris,https://www.welcometothejungle.com/fr/companies/sicara/jobs/consultant-ia-stage-de-fin-d-etudes-paris-theodo-data-ai_paris,2026-03-23,WTTJ,data,
Digital Customer - STAGE - Business Analytics & Data transformation,Wavestone,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/wavestone/jobs/digital-customer-business-intelligence-data-vizualisation_paris-la-defense-cedex,2026-03-23,WTTJ,data,
Business Data Analyst - STAGE,Tarmac Technologies,Stage,Paris,https://www.welcometothejungle.com/fr/companies/tarmac-technologies/jobs/business-data-analyst-stage_paris,2026-03-23,WTTJ,data,
ALTERNANCE - Data Scientist Industriel F/H,Safran,Alternance,Tarnos,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-scientist-industriel-f-h_tarnos,2026-03-23,WTTJ,data,
ALTERNANCE - Data Scientist – Corporate AI Squad F/H,Safran,Alternance,Tarnos,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-scientist-corporate-ai-squad-f-h_tarnos,2026-03-23,WTTJ,data,
ALTERNANCE - Data Gouvernance et Data Analyse du processus Piloter la Qualité F/H F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-gouvernance-et-data-analyse-du-processus-piloter-la-qualite-f-h-f-h_bordes,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst C&B F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-analyst-c-b-f-h_bordes,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst - Développement d'outils de prévision F/H,Safran,Alternance,Tarnos,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-analyst-developpement-d-outils-de-prevision-f-h_tarnos,2026-03-23,WTTJ,data,
ALTERNANCE - Data Analyst F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-data-analyst-f-h_bordes,2026-03-23,WTTJ,data,
ALTERNANCE - Assistant-e projets digitaux & Data F/H,Safran,Alternance,Bordes,https://www.welcometothejungle.com/fr/companies/safran/jobs/alternance-assistant-e-projets-digitaux-data-f-h_bordes,2026-03-23,WTTJ,data,
